GeneID,GeneSymbol,Family_Subfamily,Protein_Class,GO_MF,GO_BO,GO_CC
Zm00001eb084250,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb215400,Uncharacterized protein;100275407;PTN002859258;orthologs,"GENOME ASSEMBLY, CHROMOSOME: A10 (PTHR35127:SF1)",,,,
Zm00001eb393630,PLAC8 family protein;100281071;PTN002828759;orthologs,OS10G0535800 PROTEIN (PTHR31152:SF6),,,,
Zm00001eb119100,Putative ubiquitin-conjugating enzyme E2 25;100194284;PTN002783986;orthologs,UBIQUITIN-CONJUGATING ENZYME FAMILY PROTEIN (PTHR46116:SF19),ubiquitin-protein ligase(PC00234),nucleotide binding(GO:0000166);ATP binding(GO:0005524);transferase activity(GO:0016740);ubiquitin conjugating enzyme activity(GO:0061631),,
Zm00001eb374210,Sesquiterpene cyclase;732795;PTN002830118;orthologs,"ALPHA-TERPINEOL SYNTHASE, CHLOROPLASTIC (PTHR31225:SF228)",,magnesium ion binding(GO:0000287);terpene synthase activity(GO:0010333);lyase activity(GO:0016829);metal ion binding(GO:0046872),diterpenoid biosynthetic process(GO:0016102);terpenoid biosynthetic process(GO:0016114);terpene biosynthetic process(GO:0046246),
Zm00001eb162400,Ascorbate transporter chloroplastic;100191676;PTN002617052;orthologs,"ASCORBATE TRANSPORTER, CHLOROPLASTIC (PTHR11662:SF255)",secondary carrier transporter(PC00258),phosphate transmembrane transporter activity(GO:0005315);transmembrane transporter activity(GO:0022857),monoatomic ion transport(GO:0006811);transmembrane transport(GO:0055085),chloroplast(GO:0009507);chloroplast membrane(GO:0031969);plastid membrane(GO:0042170)
Zm00001eb414360,Xyloglucan endotransglucosylase_hydrolase;ZEAMMB73_Zm00001d024382;PTN002827429;orthologs,XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE (PTHR31062:SF141),hydrolase(PC00121),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);transferase activity(GO:0016740);xyloglucan:xyloglucosyl transferase activity(GO:0016762);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",carbohydrate metabolic process(GO:0005975);plant-type secondary cell wall biogenesis(GO:0009834);xyloglucan metabolic process(GO:0010411);cell wall biogenesis(GO:0042546);glucan metabolic process(GO:0044042);cell wall organization(GO:0071555),plant-type cell wall(GO:0009505);apoplast(GO:0048046)
Zm00001eb430480,Ubiquitin-specific protease family C19-related protein;103642038;PTN002852696;orthologs,OS08G0230200 PROTEIN (PTHR33709:SF4),,peptidase activity(GO:0008233),proteolysis(GO:0006508),
Zm00001eb388230,Putative NAC domain transcription factor superfamily protein;ZEAMMB73_Zm00001d046747;PTN004911226;orthologs,NAC DOMAIN TRANSCRIPTION FACTOR SUPERFAMILY PROTEIN-RELATED (PTHR31989:SF490),,DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb206840,glucose-6-phosphate 1-epimerase;100192038;PTN002595948;orthologs,GLUCOSE-6-PHOSPHATE 1-EPIMERASE (PTHR11122:SF19),,catalytic activity(GO:0003824);isomerase activity(GO:0016853);carbohydrate binding(GO:0030246);glucose-6-phosphate 1-epimerase activity(GO:0047938),carbohydrate metabolic process(GO:0005975),cytoplasm(GO:0005737)
Zm00001eb159100,Aspartic proteinase oryzasin-1;100383486;PTN002671563;orthologs,OS01G0631900 PROTEIN (PTHR47966:SF50),aspartic protease(PC00053),aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),
Zm00001eb285050,WRKY domain-containing protein;unassigned;PTN002831094;orthologs,WRKY TRANSCRIPTION FACTOR 55 (PTHR31282:SF211),DNA-binding transcription factor(PC00218),transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb158740,Isoprenylcysteine alpha-carbonyl methylesterase ICME;100193534;PTN002871654;orthologs,KYNURENINE FORMAMIDASE (PTHR48081:SF33),hydrolase(PC00121),hydrolase activity(GO:0016787),,Golgi membrane(GO:0000139);endoplasmic reticulum membrane(GO:0005789)
Zm00001eb195530,DUF936 family protein;100279842;PTN002841003;orthologs,EXPRESSED PROTEIN (PTHR31928:SF3),,microtubule binding(GO:0008017),,microtubule(GO:0005874)
Zm00001eb160220,UDENN domain-containing protein;unassigned;PTN008993122;orthologs,DENN DOMAIN-CONTAINING PROTEIN 3 (PTHR12296:SF21),guanyl-nucleotide exchange factor(PC00113),guanyl-nucleotide exchange factor activity(GO:0005085),regulation of Rab protein signal transduction(GO:0032483),cytoplasm(GO:0005737);cytoplasmic vesicle(GO:0031410)
Zm00001eb181120,Zinc-hook domain-containing protein;unassigned;PTN002705964;orthologs,DNA REPAIR PROTEIN RAD50 (PTHR18867:SF12),,nucleotide binding(GO:0000166);double-stranded telomeric DNA binding(GO:0003691);ATP binding(GO:0005524);hydrolase activity(GO:0016787);ATP hydrolysis activity(GO:0016887);single-stranded telomeric DNA binding(GO:0043047);metal ion binding(GO:0046872);G-quadruplex DNA binding(GO:0051880),telomere maintenance via recombination(GO:0000722);telomere maintenance(GO:0000723);DNA repair(GO:0006281);double-strand break repair(GO:0006302);DNA damage response(GO:0006974);telomere maintenance via telomerase(GO:0007004);meiotic cell cycle(GO:0051321);chromosome organization involved in meiotic cell cycle(GO:0070192),condensed nuclear chromosome(GO:0000794);nucleus(GO:0005634);chromosome(GO:0005694);Mre11 complex(GO:0030870)
Zm00001eb337200,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb094890,UDP-glycosyltransferase 76C1;103647206;PTN002630387;orthologs,FLAVONOL 3-O-GLUCOSYLTRANSFERASE UGT76E12-RELATED (PTHR11926:SF1494),transferase(PC00220),UDP-glycosyltransferase activity(GO:0008194);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251);quercetin 3-O-glucosyltransferase activity(GO:0080043);quercetin 7-O-glucosyltransferase activity(GO:0080044),,cytoplasm(GO:0005737)
Zm00001eb430030,Uncharacterized protein;ZEAMMB73_Zm00001d026205;PTN002859778;orthologs,TRANSMEMBRANE PROTEIN (PTHR35297:SF11),,,,
Zm00001eb085420,CG-1 domain-containing protein;unassigned;PTN002762893;orthologs,"CALMODULIN-BINDING TRANSCRIPTION ACTIVATOR, ISOFORM F (PTHR23335:SF1)",DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);double-stranded DNA binding(GO:0003690);transcription coregulator activity(GO:0003712);calmodulin binding(GO:0005516),regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357),nucleus(GO:0005634)
Zm00001eb117420,Glutaredoxin family protein;103648265;PTN002903368;orthologs,EMB|CAB81925.1-RELATED (PTHR45669:SF14),oxidoreductase(PC00176),,,
Zm00001eb140440,EMP5;Emp5;PTN002770102;orthologs,OS01G0959600 PROTEIN (PTHR24015:SF811),,RNA binding(GO:0003723);zinc ion binding(GO:0008270),RNA modification(GO:0009451),
Zm00001eb063270,S-adenosyl-L-methionine-dependent methyltransferase superfamily protein;unassigned;PTN009020054;orthologs,S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN (PTHR14614:SF97),protein modifying enzyme(PC00260),protein methyltransferase activity(GO:0008276),,
Zm00001eb214560,UDP-glucose 6-dehydrogenase;100282847;PTN002604296;orthologs,UDP-GLUCOSE 6-DEHYDROGENASE (PTHR11374:SF3),dehydrogenase(PC00092),"UDP-glucose 6-dehydrogenase activity(GO:0003979);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD binding(GO:0051287)",glycosaminoglycan biosynthetic process(GO:0006024);UDP-glucuronate biosynthetic process(GO:0006065),nucleus(GO:0005634)
Zm00001eb158200,Proteasome assembly chaperone 4;100217088;PTN009146696;orthologs,PROTEASOME ASSEMBLY CHAPERONE 4 (PTHR33559:SF1),chaperone(PC00072),,proteasome assembly(GO:0043248),
Zm00001eb311870,JmjC domain-containing protein;unassigned;PTN002649097;orthologs,JMJC DOMAIN-CONTAINING PROTEIN (PTHR12549:SF53),histone modifying enzyme(PC00261),transcription coregulator activity(GO:0003712);zinc ion binding(GO:0008270);oxidoreductase activity(GO:0016491);chromatin DNA binding(GO:0031490);histone H3K9 demethylase activity(GO:0032454);metal ion binding(GO:0046872),chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357),histone deacetylase complex(GO:0000118);chromatin(GO:0000785);nucleus(GO:0005634)
Zm00001eb399140,Inositol polyphosphate-related phosphatase domain-containing protein;unassigned;PTN002903184;orthologs,TYPE IV INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 9 (PTHR45666:SF18),phosphatase(PC00181),"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity(GO:0004439);inositol-polyphosphate 5-phosphatase activity(GO:0004445);hydrolase activity(GO:0016787);phosphatase activity(GO:0016791);phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity(GO:0034485)",phosphatidylinositol dephosphorylation(GO:0046856),
Zm00001eb136560,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb186280,Putative WRKY DNA-binding domain superfamily protein;103653860;PTN002830034;orthologs,WRKY DNA-BINDING DOMAIN SUPERFAMILY PROTEIN-RELATED (PTHR31221:SF354),DNA-binding transcription factor(PC00218),transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb329230,Tetratricopeptide repeat (TPR)-like superfamily protein;ZEAMMB73_Zm00001d022335;PTN002600156;orthologs,PRE-MRNA-SPLICING FACTOR SYF1 (PTHR11246:SF5),RNA splicing factor(PC00148),,"generation of catalytic spliceosome for first transesterification step(GO:0000349);mRNA splicing, via spliceosome(GO:0000398);RNA processing(GO:0006396);mRNA processing(GO:0006397);RNA splicing(GO:0008380)",Prp19 complex(GO:0000974);nucleus(GO:0005634);spliceosomal complex(GO:0005681);U2-type catalytic step 2 spliceosome(GO:0071007);post-mRNA release spliceosomal complex(GO:0071014)
Zm00001eb072670,OSJNBa0013K16.16-like protein;100275085;PTN002917783;orthologs,OS04G0586100 PROTEIN (PTHR46057:SF40),,metal ion binding(GO:0046872),,
Zm00001eb101640,Phosphatidylinositol_phosphatidylcholine transfer protein SFH13;100285123;PTN002902452;orthologs,OS09G0481100 PROTEIN (PTHR45657:SF13),,phosphatidylinositol transfer activity(GO:0008526),post-Golgi vesicle-mediated transport(GO:0006892);protein transport(GO:0015031);phospholipid transport(GO:0015914);intermembrane lipid transfer(GO:0120009),Golgi membrane(GO:0000139);plasma membrane(GO:0005886)
Zm00001eb018230,Polyamine transporter;unassigned;;orthologs,,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),plasma membrane(GO:0005886)
Zm00001eb077640,Putative low-specificity L-threonine aldolase 1;ZEAMMB73_Zm00001d003059;PTN002568720;orthologs,LOW-SPECIFICITY L-THREONINE ALDOLASE 1-RELATED (PTHR48097:SF13),aldolase(PC00044),threonine aldolase activity(GO:0004793);L-allo-threonine aldolase activity(GO:0008732);lyase activity(GO:0016829),amino acid metabolic process(GO:0006520);glycine biosynthetic process(GO:0006545);L-threonine catabolic process(GO:0006567),cytosol(GO:0005829)
"Zm00001eb072850,Zm00001eb321260",Histone H4;H4C14;PTN002573621;orthologs,HISTONE H4 (PTHR10484:SF183),"chromatin/chromatin-binding, or -regulatory protein(PC00077)",DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982),nucleosome assembly(GO:0006334),nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694)
Zm00001eb373010,Secreted protein;unassigned;;orthologs,,,,,
Zm00001eb053220,Protein NRT1_ PTR FAMILY 2.9;100191680;PTN002616646;orthologs,OS03G0687000 PROTEIN (PTHR11654:SF589),transporter(PC00227),,,
Zm00001eb200040,Uncharacterized protein;unassigned;PTN008984523;orthologs,BISDEMETHOXYCURCUMIN SYNTHASE (PTHR11877:SF101),transferase(PC00220),"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",polyketide biosynthetic process(GO:0030639),
Zm00001eb186720,Cortical cell-delineating protein;ZEAMMB73_Zm00001d051384;PTN002838116;orthologs,OS12G0473900 PROTEIN (PTHR31731:SF151),,,,
Zm00001eb261940,MTTase N-terminal domain-containing protein;unassigned;;orthologs,,,"methylthiotransferase activity(GO:0035596);4 iron, 4 sulfur cluster binding(GO:0051539)",,
Zm00001eb206870,Transmembrane protein 230;ZEAMMB73_Zm00001d053759;PTN002695633;orthologs,TRANSMEMBRANE PROTEIN 230 (PTHR15664:SF6),,,,early endosome(GO:0005769);late endosome(GO:0005770);autophagosome(GO:0005776);Golgi apparatus(GO:0005794);endomembrane system(GO:0012505);membrane(GO:0016020);cytoplasmic vesicle(GO:0031410);recycling endosome(GO:0055037)
Zm00001eb213140,Ubiquitin-conjugating enzyme E2 2;100193988;PTN009078997;orthologs,UBIQUITIN-CONJUGATING ENZYME E2 3 (PTHR24067:SF295),ubiquitin-protein ligase(PC00234),nucleotide binding(GO:0000166);ubiquitin-protein transferase activity(GO:0004842);ATP binding(GO:0005524);transferase activity(GO:0016740);ubiquitin conjugating enzyme activity(GO:0061631),protein polyubiquitination(GO:0000209);DNA repair(GO:0006281);ubiquitin-dependent protein catabolic process(GO:0006511);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161),
Zm00001eb257570,PAP fibrillin family protein;100281005;PTN009129806;orthologs,"PLASTID-LIPID-ASSOCIATED PROTEIN 11, CHLOROPLASTIC-RELATED (PTHR31906:SF3)",,,,plastid(GO:0009536)
Zm00001eb097370,Uncharacterized protein;unassigned;;orthologs,,,nucleotide binding(GO:0000166);ATP binding(GO:0005524),,plastid(GO:0009536)
Zm00001eb369580,Uncharacterized protein;100191282;PTN002876187;orthologs,3-HYDROXYBUTYRYL-COA DEHYDROGENASE (PTHR48075:SF5),dehydrogenase(PC00092),"catalytic activity(GO:0003824);enoyl-CoA hydratase activity(GO:0004300);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD+ binding(GO:0070403)",fatty acid metabolic process(GO:0006631);monocarboxylic acid metabolic process(GO:0032787),
Zm00001eb037960,BHLH transcription factor (Fragment);bHLH135;PTN002701532;orthologs,OS06G0210600 PROTEIN (PTHR16223:SF122),basic helix-loop-helix transcription factor(PC00055),"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357),nucleus(GO:0005634)
Zm00001eb352930,Eukaryotic aspartyl protease family protein;ZEAMMB73_Zm00001d010722;PTN002671826;orthologs,CHLOROPLAST NUCLEOID DNA-BINDING PROTEIN-LIKE (PTHR47967:SF47),,aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),extracellular region(GO:0005576)
Zm00001eb433040,G2-like transcription factor;100281665;PTN002831539;orthologs,MYB FAMILY TRANSCRIPTION FACTOR PHL5 (PTHR31314:SF7),homeodomain transcription factor(PC00119),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),
Zm00001eb238990,IBB domain-containing protein;unassigned;;orthologs,,,,,
Zm00001eb338890,GDT1 family protein;103634990;PTN008998996;orthologs,"PROTEIN PAM71, CHLOROPLASTIC (PTHR12608:SF6)",,,,
Zm00001eb036220,UDP-glucuronate 4-epimerase 1;103642738;PTN002883088;orthologs,UDP-GLUCURONATE 4-EPIMERASE 6 (PTHR43574:SF28),epimerase/racemase(PC00096),isomerase activity(GO:0016853);racemase and epimerase activity(GO:0016854);UDP-glucuronate 4-epimerase activity(GO:0050378),galacturonate biosynthetic process(GO:0033481),Golgi cisterna membrane(GO:0032580)
Zm00001eb293800,Periodic tryptophan protein 2;100191510;PTN002716195;orthologs,PERIODIC TRYPTOPHAN PROTEIN 2 HOMOLOG (PTHR19858:SF0),,,"ribosomal small subunit assembly(GO:0000028);maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000462)",nucleolus(GO:0005730);small-subunit processome(GO:0032040);Pwp2p-containing subcomplex of 90S preribosome(GO:0034388)
Zm00001eb428940,C2H2-type domain-containing protein;unassigned;PTN002577608;orthologs,OS04G0566400 PROTEIN (PTHR10593:SF127),non-receptor serine/threonine protein kinase(PC00167),DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb114370,Subtilisin-like serine endopeptidase family protein;unassigned;PTN002584448;orthologs,OS02G0269600 PROTEIN (PTHR10795:SF740),serine protease(PC00203),serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787),proteolysis(GO:0006508),extracellular region(GO:0005576)
Zm00001eb160360,Alpha_beta-Hydrolases superfamily protein;100276031;PTN009165529;orthologs,ESTERASE_LIPASE_THIOESTERASE FAMILY PROTEIN-LIKE (PTHR42886:SF36),,hydrolase activity(GO:0016787),,
Zm00001eb220530,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb388050,BZIP transcription factor 60;ZEAMMB73_Zm00001d046718;PTN005344271;orthologs,BASIC-LEUCINE ZIPPER TRANSCRIPTION FACTOR E-RELATED (PTHR47416:SF8),basic leucine zipper transcription factor(PC00056),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355);response to unfolded protein(GO:0006986);endoplasmic reticulum unfolded protein response(GO:0030968);response to endoplasmic reticulum stress(GO:0034976),nucleus(GO:0005634);endoplasmic reticulum membrane(GO:0005789)
Zm00001eb254580,Transmembrane protein;100191415;PTN002658694;orthologs,TRANSMEMBRANE PROTEIN (PTHR12956:SF27),,,,
Zm00001eb092880,Heavy metal transport_detoxification superfamily protein;103647091;PTN002912779;orthologs,HEAVY METAL TRANSPORT_DETOXIFICATION SUPERFAMILY PROTEIN (PTHR45868:SF77),,metal ion binding(GO:0046872),,
Zm00001eb117280,3-oxo-5-alpha-steroid 4-dehydrogenase family protein;103649488;PTN002576468;orthologs,3-OXO-5-ALPHA-STEROID 4-DEHYDROGENASE FAMILY PROTEIN (PTHR10556:SF50),dehydrogenase(PC00092),"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-CH group of donors(GO:0016627)",lipid metabolic process(GO:0006629),membrane(GO:0016020)
Zm00001eb329280,Endonuclease_exonuclease_phosphatase domain-containing protein;unassigned;PTN002686250;orthologs,"ENDONUCLEASE_EXONUCLEASE_PHOSPHATASE FAMILY PROTEIN, EXPRESSED (PTHR14859:SF0)",,catalytic activity(GO:0003824),GPI anchor biosynthetic process(GO:0006506),endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
Zm00001eb260320,Uncharacterized protein;100381867;PTN002861024;orthologs,PROTEIN TRACHEARY ELEMENT DIFFERENTIATION-RELATED 7 (PTHR35697:SF1),,,plant-type secondary cell wall biogenesis(GO:0009834),
Zm00001eb066230,Uncharacterized protein;ZEAMMB73_Zm00001d001834;PTN002861879;orthologs,EXPRESSED PROTEIN (PTHR36034:SF2),,,,
Zm00001eb349740,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb237570,Dynein light chain;100285857;PTN008984721;orthologs,DYNEIN LIGHT CHAIN (PTHR11886:SF78),microtubule or microtubule-binding cytoskeletal protein(PC00157),dynein intermediate chain binding(GO:0045505),microtubule-based process(GO:0007017),cytoskeleton(GO:0005856);cytoplasmic dynein complex(GO:0005868);microtubule(GO:0005874);dynein complex(GO:0030286)
Zm00001eb195540,Kinesin motor domain-containing protein;unassigned;;orthologs,,,nucleotide binding(GO:0000166);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017),microtubule-based movement(GO:0007018),microtubule(GO:0005874)
Zm00001eb416260,Basal layer antifungal peptide;bap-1a;;orthologs,,,,,
Zm00001eb000690,Homeobox-leucine zipper protein REVOLUTA;100037826;PTN009189884;orthologs,HOMEOBOX-LEUCINE ZIPPER PROTEIN HOX10 (PTHR45950:SF28),homeodomain transcription factor(PC00119),,,
Zm00001eb068660,36.4 kDa proline-rich protein;100281790;PTN002838071;orthologs,OS04G0644400 PROTEIN (PTHR31731:SF20),,,,
Zm00001eb073140,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb418350,Coatomer subunit beta-1;ZEAMMB73_Zm00001d024876;PTN002578707;orthologs,COATOMER SUBUNIT BETA-1 (PTHR10635:SF3),vesicle coat protein(PC00235),,intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);intra-Golgi vesicle-mediated transport(GO:0006891),cytoplasm(GO:0005737);COPI vesicle coat(GO:0030126)
Zm00001eb280430,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb302680,Vesicle-associated membrane protein 722;100282409;PTN009043965;orthologs,VESICLE-ASSOCIATED MEMBRANE PROTEIN 721 (PTHR21136:SF176),SNARE protein(PC00034),,protein transport(GO:0015031);vesicle-mediated transport(GO:0016192),endosome(GO:0005768);plasma membrane(GO:0005886);membrane(GO:0016020);early endosome membrane(GO:0031901)
Zm00001eb257410,Diacylglycerol kinase;100284664;PTN002600606;orthologs,EYE-SPECIFIC DIACYLGLYCEROL KINASE (PTHR11255:SF80),kinase(PC00137),nucleotide binding(GO:0000166);ATP-dependent diacylglycerol kinase activity(GO:0004143);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),defense response(GO:0006952);signal transduction(GO:0007165);phospholipase C-activating G protein-coupled receptor signaling pathway(GO:0007200);intracellular signal transduction(GO:0035556);glycerolipid metabolic process(GO:0046486),membrane(GO:0016020)
Zm00001eb148170,Peptidase M1 membrane alanine aminopeptidase domain-containing protein;unassigned;PTN009160994;orthologs,"ALPHA-1,6-MANNOSYL-GLYCOPROTEIN 2-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE (PTHR37193:SF1)",protein modifying enzyme(PC00260),metallopeptidase activity(GO:0008237);zinc ion binding(GO:0008270),,
Zm00001eb325110,Protein FREE1;100279323;PTN002753324;orthologs,OS07G0573300 PROTEIN (PTHR46977:SF8),,zinc ion binding(GO:0008270);ubiquitin binding(GO:0043130);metal ion binding(GO:0046872),multivesicular body assembly(GO:0036258);intralumenal vesicle formation(GO:0070676),ESCRT I complex(GO:0000813);late endosome membrane(GO:0031902)
Zm00001eb391730,Pectin acetylesterase;unassigned;PTN002727281;orthologs,PECTIN ACETYLESTERASE 9 (PTHR21562:SF69),,hydrolase activity(GO:0016787);pectin acetylesterase activity(GO:0052793),cell wall organization(GO:0071555),
Zm00001eb430360,Protein kinase domain-containing protein;unassigned;PTN002780604;orthologs,OS04G0602800 PROTEIN (PTHR24058:SF105),protein modifying enzyme(PC00260),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);protein tyrosine kinase activity(GO:0004713);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,cytoplasm(GO:0005737)
Zm00001eb158360,Phospholipase A1;103651424;PTN002839646;orthologs,PHOSPHOLIPASE A1-II 2 (PTHR31828:SF5),phospholipase(PC00186),phospholipase A1 activity(GO:0008970);hydrolase activity(GO:0016787),lipid metabolic process(GO:0006629);lipid catabolic process(GO:0016042),cytoplasm(GO:0005737)
Zm00001eb067840,Os07g0120600-like protein;103645824;PTN002837160;orthologs,OS07G0120600-LIKE PROTEIN (PTHR31676:SF198),,,,
Zm00001eb266870,Uncharacterized protein;unassigned;PTN009024659;orthologs,YMGG-LIKE GLY-ZIPPER DOMAIN-CONTAINING PROTEIN (PTHR15371:SF22),amino acid transporter(PC00046),amino acid transmembrane transporter activity(GO:0015171);transmembrane transporter activity(GO:0022857),amino acid transmembrane transport(GO:0003333);protein import into chloroplast stroma(GO:0045037),chloroplast outer membrane(GO:0009707);membrane(GO:0016020)
Zm00001eb278300,Glutathione peroxidase;100272844;PTN002613077;orthologs,"GLUTATHIONE PEROXIDASE 7, CHLOROPLASTIC-RELATED (PTHR11592:SF132)",peroxidase(PC00180),peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491),response to oxidative stress(GO:0006979);cellular response to oxidative stress(GO:0034599);cellular oxidant detoxification(GO:0098869),
Zm00001eb385230,Root hair specific 4;ZEAMMB73_Zm00001d046362;PTN002852464;orthologs,OS06G0574000 PROTEIN (PTHR33672:SF6),,,photosystem I assembly(GO:0048564);response to photooxidative stress(GO:0080183),chloroplast thylakoid membrane(GO:0009535)
Zm00001eb358610,Ribosomal protein;unassigned;PTN009061946;orthologs,LARGE RIBOSOMAL SUBUNIT PROTEIN UL1 (PTHR23105:SF101),ribosomal protein(PC00202),RNA binding(GO:0003723),,ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)
Zm00001eb186390,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb143270,Uncharacterized protein;100382514;PTN002855654;orthologs,OS01G0920100 PROTEIN (PTHR34280:SF2),,,,
Zm00001eb361680,Putative MYB DNA-binding domain superfamily protein;103637431;PTN002578845;orthologs,OS01G0722300 PROTEIN (PTHR48000:SF66),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb365670,Sister chromatid cohesion 1 protein 4;ZEAMMB73_Zm00001d012156;PTN002650107;orthologs,FI11703P (PTHR12585:SF69),,chromatin binding(GO:0003682),chromosome segregation(GO:0007059);sister chromatid cohesion(GO:0007062);replication-born double-strand break repair via sister chromatid exchange(GO:1990414),nucleus(GO:0005634);cohesin complex(GO:0008278)
Zm00001eb288030,HAT C-terminal dimerisation domain-containing protein;unassigned;;orthologs,,,protein dimerization activity(GO:0046983),,
Zm00001eb212940,Uncharacterized protein;unassigned;;orthologs,,,DNA binding(GO:0003677),,
Zm00001eb336500,Uncharacterized protein;unassigned;PTN002578908;orthologs,SUBFAMILY NOT NAMED (PTHR47997:SF91),homeodomain transcription factor(PC00119),transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb379160,WAT1-related protein;100501625;PTN009115616;orthologs,WAT1-RELATED PROTEIN (PTHR31218:SF56),,,,
Zm00001eb334280,DNAJ heat shock N-terminal domain-containing protein;103634728;PTN002895166;orthologs,OS06G0535300 PROTEIN (PTHR45089:SF61),,,,endoplasmic reticulum(GO:0005783)
